จังหวัด,เขตเลือกตั้งที่,ลำดับคะแนน,ผู้ลงสมัคร สส.,พรรคที่สังกัด,คะแนนเสียง,คะแนนเสียง(ร้อยละ),ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,จำนวนหน่วยเลือกตั้งทั้งหมด
กระบี่,1,1,นายกิตติ กิตติธรกุล,ภูมิใจไทย,50493,56.07,97431,,90061,2723,4647,204,94.88372,,215
กระบี่,1,2,นายธนวัช ภูเก้าล้วน,ประชาชน,20554,22.82,97431,,90061,2723,4647,204,94.88372,,215
กระบี่,1,3,นายวศิน สิริเกียรติกุล,ประชาธิปัตย์,15466,17.17,97431,,90061,2723,4647,204,94.88372,,215
กระบี่,1,4,นายสุวรรณ อินพรหม,เพื่อไทย,2308,2.56,97431,,90061,2723,4647,204,94.88372,,215
กระบี่,1,5,นายพิทักษ์ ภารา,เศรษฐกิจ,840,0.93,97431,,90061,2723,4647,204,94.88372,,215
กระบี่,1,6,นายพงไพร บุตรเลี่ยม,พลังประชารัฐ,400,0.44,97431,,90061,2723,4647,204,94.88372,,215
กระบี่,2,1,นายถิรเดช ตั้งมั่นก่อกิจ,ภูมิใจไทย,42714,54.07,86116,,78999,2599,4518,198,94.73684,,209
กระบี่,2,2,นายกฤตพร บุษย์เพชร,ประชาธิปัตย์,21242,26.89,86116,,78999,2599,4518,198,94.73684,,209
กระบี่,2,3,นางสาวรัตนภรณ์ ณ นคร,ประชาชน,9433,11.94,86116,,78999,2599,4518,198,94.73684,,209
กระบี่,2,4,นายยุทธนา อ่าวลึกน้อย,เพื่อไทย,2694,3.41,86116,,78999,2599,4518,198,94.73684,,209
กระบี่,2,5,นายวิชากร บุญฤทธิ์,พลังประชารัฐ,1275,1.61,86116,,78999,2599,4518,198,94.73684,,209
กระบี่,2,6,นายสีหเดช แสงจันทร์,เศรษฐกิจ,828,1.05,86116,,78999,2599,4518,198,94.73684,,209
กระบี่,2,7,นายสมใจ นวลนุ่น,ไทยก้าวใหม่,813,1.03,86116,,78999,2599,4518,198,94.73684,,209
กระบี่,3,1,นายกิตติชัย เอ่งฉ้วน,ภูมิใจไทย,47416,53.97,87853,,87853,,,220,94.82759,,232
กระบี่,3,2,นายสุกิติ พรหมทอง,ประชาธิปัตย์,15794,17.98,87853,,87853,,,220,94.82759,,232
กระบี่,3,3,นายศรัญญู รักมิตร,กล้าธรรม,12557,14.29,87853,,87853,,,220,94.82759,,232
กระบี่,3,4,นายประเสริฐพงษ์ ศรนุวัตร์,ประชาชน,9623,10.95,87853,,87853,,,220,94.82759,,232
กระบี่,3,5,นายกุศล วะเจดีย์,เพื่อไทย,1574,1.79,87853,,87853,,,220,94.82759,,232
กระบี่,3,6,นายสรร ชัยภัทรธัญกร,เศรษฐกิจ,889,1.01,87853,,87853,,,220,94.82759,,232
กรุงเทพมหานคร,1,1,นายปารเมศ วิทยารักษ์สรรค์,ประชาชน,34167,44.33,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,2,นายพีรวุฒิ พิมพ์สมฤดี,ประชาธิปัตย์,14813,19.22,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,3,นางสาวลลิดา เพริศวิวัฒนา,ภูมิใจไทย,14368,18.64,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,4,นายญาณกิตติ์ ห่วงทรัพย์,เพื่อไทย,6030,7.82,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,5,นายพลัฏฐ์ ศิริกุลพิสุทธิ์,รวมไทยสร้างชาติ,2075,2.69,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,6,นายแทนคุณ จิตอิสระ,โอกาสใหม่,1133,1.47,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,7,นายภัทรพล หมดมลทิน,ไทยภักดี,1023,1.33,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,8,พันตำรวจโทหญิง แสนสุข อุทยานินทร์,เศรษฐกิจ,979,1.27,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,9,นายพิเชษฐ์ ไทยนิยม,ไทยสร้างไทย,629,0.82,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,10,นายกานต์ กิตติอำพน,ไทยก้าวใหม่,489,0.63,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,11,นายธนะสิทธิ์ ล้อสุวรรณทีปต์,พลวัต,351,0.46,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,12,นายอัครพล คฤหเดชรัตนา,กล้าธรรม,244,0.32,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,13,นายวีระยุทธ ประกอบการ,ปวงชนไทย,168,0.22,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,14,นายอดัม ชินรัตนพิสิทธิ์,รักชาติ,165,0.21,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,15,นายประสงค์ ประสพโชค,ทางเลือกใหม่,154,0.2,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,16,นายเลิศชาย สุจริตกุล,วิชชั่นใหม่,113,0.15,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,17,นายมงคล เสมอภาพ,ประชาธิปไตยใหม่,94,0.12,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,1,18,นายกิตติคุณ ชื่นแย้ม,พลังประชารัฐ,80,0.1,77075,,77075,,,227,94.97908,,239
กรุงเทพมหานคร,2,1,นายเสกสิทธิ์ แย้มสงวนศักดิ์,ประชาชน,39499,47.09,90181,,83874,1384,4923,220,94.82759,,232
กรุงเทพมหานคร,2,2,นางสาวพัชรินทร์ ชำศิริพงษ์,ภูมิใจไทย,15949,19.02,90181,,83874,1384,4923,220,94.82759,,232
กรุงเทพมหานคร,2,3,นายเจษฎา เลิศธนสาร,ประชาธิปัตย์,14613,17.42,90181,,83874,1384,4923,220,94.82759,,232
