province,district,election_type,drive_id,extracted_valid,weak_summary,ref_valid,delta_valid_vs_killernay,exact_killernay
กระบี่,1,constituency,1oGYn79Mr7OqXb2I7JFmy1Y3YhtNda7mN,90061.0,False,90061.0,0.0,True
กระบี่,1,party_list,1tmEswtv_et-SilrPhGMrADBYgb7o7FAF,91354.0,False,91354.0,0.0,True
กระบี่,2,constituency,1O-m1c3dlYRHNvRZ1zcAs9wVOkeAtYE_W,78999.0,False,78999.0,0.0,True
กระบี่,2,party_list,19jHMap174RCPniYk-ouSw4Hjc4x_kP5_,81262.0,False,81262.0,0.0,True
กระบี่,3,constituency,1fDLms3hZKRQNDEmX0iWuFH1SiM8VqLJo,87853.0,False,87853.0,0.0,True
กระบี่,3,party_list,17AASdaeTCYe2PU4qDr31GNBjag0QUNfy,89432.0,False,89432.0,0.0,True
กรุงเทพมหานคร,1,constituency,1eMio2cG71gPV0BNYPs4_3RWVxFrJEeTc,77075.0,False,77075.0,0.0,True
กรุงเทพมหานคร,1,party_list,1RM3qfUAS0JITAJql_TnTn5899nD8au33,78517.0,False,78517.0,0.0,True
กรุงเทพมหานคร,2,constituency,1yYV_7WvATIkrXZ9Yl1I7I_12nzxNUgk4,83874.0,False,83874.0,0.0,True
กรุงเทพมหานคร,2,party_list,1l8FFCSWg3cBfI79LLiauIV5AOcH8PsJ6,86220.0,False,86220.0,0.0,True
กรุงเทพมหานคร,3,constituency,1mRmRW0mCj0-cGmv7gqfBvCbRLLHe7zkS,76775.0,False,76775.0,0.0,True
กรุงเทพมหานคร,3,party_list,12PCZZ-z57PUhbjVN66TD4v71KuT5rmXn,78875.0,False,78875.0,0.0,True
กรุงเทพมหานคร,4,constituency,1JxW3LXY1b4DjkSHoN1mgZlWjq5pVLRAY,77982.0,False,77982.0,0.0,True
กรุงเทพมหานคร,4,party_list,11TtqKq_g89uBA4QUWeYEpWMa-2RCvWWY,79302.0,False,79302.0,0.0,True
