delta,district_number,drive_id,form_type,issue,latest_extra,latest_missing,latest_sum,province,valid,winner_ect,winner_latest
,5,17KQ-MXVGSeRLj_TGp1R6zwTBBG_TKfOd,party_list,party_key_bad_latest,,23,,กรุงเทพมหานคร,,,
-18,12,17kN56fpRgdAKLnClJxTKRA74idHwxMCV,party_list,sum_valid_mismatch,,,106736,กรุงเทพมหานคร,106754,,
,12,17kN56fpRgdAKLnClJxTKRA74idHwxMCV,party_list,party_key_bad_latest,,24,,กรุงเทพมหานคร,,,
,15,missing::กรุงเทพมหานคร::15::party_list,party_list,party_no_votes_latest,,,,กรุงเทพมหานคร,,,
-27,19,18CoxX7jIOV3Oo-m5jqj6FEvkPsSQ25UF,party_list,sum_valid_mismatch,,,94973,กรุงเทพมหานคร,95000,,
,19,18CoxX7jIOV3Oo-m5jqj6FEvkPsSQ25UF,party_list,party_key_bad_latest,,19,,กรุงเทพมหานคร,,,
349,1,1VKae75PH9ewqe33kglXKzZdZQf1t2dJo,party_list,sum_valid_mismatch,,,83229,กาฬสินธุ์,82880,,
-74,7,1GDCFtiEf56CaCcxbXLTodwrzB97ecoxJ,party_list,sum_valid_mismatch,,,83183,ขอนแก่น,83257,,
,7,1GDCFtiEf56CaCcxbXLTodwrzB97ecoxJ,party_list,party_key_bad_latest,,"18,21",,ขอนแก่น,,,
,1,1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o,party_list,party_key_bad_latest,,"16,19",,ชัยภูมิ,,,
,1,1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o,party_list,winner_mismatch_latest_ect,,,,ชัยภูมิ,,9,46
-26,3,1JIM7_8xeyGmJfDlDfPovZWY_jG817FmD,party_list,sum_valid_mismatch,,,82500,นครปฐม,82526,,
,3,1JIM7_8xeyGmJfDlDfPovZWY_jG817FmD,party_list,party_key_bad_latest,,"19,57",,นครปฐม,,,
,2,missing::นครพนม::2::party_list,party_list,party_no_votes_latest,,,,นครพนม,,,
,13,1aqb4gW7J2F7hpIeDGqbcitGTlzMFJzD7,party_list,winner_mismatch_latest_ect,,,,นครราชสีมา,,46,44
,4,15Z_xrytFtFgFWqrCPO0HHwwkj03l00ev,party_list,winner_mismatch_latest_ect,,,,นครสวรรค์,,37,46
-1281,6,1487ZDm0vUn3rkEALvhKUvTHsIAStHHY-,party_list,sum_valid_mismatch,,,80356,นครสวรรค์,81637,,
