province,district_number,candidate_no,candidate_name,party,votes,drive_id,drive_url
กระบี่,1,2,นายกิตติ กิตติธรกุล,ภูมิใจไทย,50493,1oGYn79Mr7OqXb2I7JFmy1Y3YhtNda7mN,https://drive.google.com/file/d/1oGYn79Mr7OqXb2I7JFmy1Y3YhtNda7mN/view
กระบี่,2,2,นายถิรเดช ตั้งมั่นก่อกิจ,ภูมิใจไทย,42714,1O-m1c3dlYRHNvRZ1zcAs9wVOkeAtYE_W,https://drive.google.com/file/d/1O-m1c3dlYRHNvRZ1zcAs9wVOkeAtYE_W/view
กระบี่,3,5,นายกิตติชัย เอ่งฉ้วน,ภูมิใจไทย,47416,1fDLms3hZKRQNDEmX0iWuFH1SiM8VqLJo,https://drive.google.com/file/d/1fDLms3hZKRQNDEmX0iWuFH1SiM8VqLJo/view
กรุงเทพมหานคร,1,5,นายปารเมศ วิทยารักษ์สรรค์,ประชาชน,34167,1eMio2cG71gPV0BNYPs4_3RWVxFrJEeTc,https://drive.google.com/file/d/1eMio2cG71gPV0BNYPs4_3RWVxFrJEeTc/view
กรุงเทพมหานคร,2,2,นายเสกสิทธิ์ แย้มสงวนศักดิ์,ประชาชน,39499,1yYV_7WvATIkrXZ9Yl1I7I_12nzxNUgk4,https://drive.google.com/file/d/1yYV_7WvATIkrXZ9Yl1I7I_12nzxNUgk4/view
กรุงเทพมหานคร,3,9,นายจรยุทธ จตุรพรประสิทธิ์,ประชาชน,34653,1mRmRW0mCj0-cGmv7gqfBvCbRLLHe7zkS,https://drive.google.com/file/d/1mRmRW0mCj0-cGmv7gqfBvCbRLLHe7zkS/view
กรุงเทพมหานคร,4,2,นายภัณฑิล น่วมเจิม,ประชาชน,34405,1JxW3LXY1b4DjkSHoN1mgZlWjq5pVLRAY,https://drive.google.com/file/d/1JxW3LXY1b4DjkSHoN1mgZlWjq5pVLRAY/view
กรุงเทพมหานคร,5,6,นายปิติกรณ์ บรรณเภสัช,ประชาชน,45269,12OhytfHmQj9DZwl72aJuFmjZtd5FQU-N,https://drive.google.com/file/d/12OhytfHmQj9DZwl72aJuFmjZtd5FQU-N/view
กรุงเทพมหานคร,6,7,นายกัณตภณ ดวงอัมพร,ประชาชน,43239,1HVBCILZX94fkIhkOjOX5nliBfcw4nwTF,https://drive.google.com/file/d/1HVBCILZX94fkIhkOjOX5nliBfcw4nwTF/view
กรุงเทพมหานคร,7,3,นายพุฒิพงศ์ อินทรสุวรรณ,เพื่อไทย,40962,1ValgLEY9IDP2tjduGw73t2M8x6aEuSKl,https://drive.google.com/file/d/1ValgLEY9IDP2tjduGw73t2M8x6aEuSKl/view
กรุงเทพมหานคร,8,1,นายชยพล สท้อนดี,ประชาชน,45092,1BZw_U1BCA58Z3UeKze75FYgglhYX4AwY,https://drive.google.com/file/d/1BZw_U1BCA58Z3UeKze75FYgglhYX4AwY/view
กรุงเทพมหานคร,9,5,นายศุภณัฐ มีนชัยนันท์,ประชาชน,49366,1VglyVY0ywHxYKGyc7OWWGGp5Okd8j2zZ,https://drive.google.com/file/d/1VglyVY0ywHxYKGyc7OWWGGp5Okd8j2zZ/view
กรุงเทพมหานคร,10,6,นายเอกราช อุดมอำนวย,ประชาชน,41804,1AIZIgOpf-7FHKnwxzEkzGJNUciJe7AE7,https://drive.google.com/file/d/1AIZIgOpf-7FHKnwxzEkzGJNUciJe7AE7/view
กรุงเทพมหานคร,11,15,นางสาวศศินันท์ ธรรมนิฐินันท์,ประชาชน,38779,1MEEhXhNx4j9A17_xD92KmQ4e63SmhDpg,https://drive.google.com/file/d/1MEEhXhNx4j9A17_xD92KmQ4e63SmhDpg/view
กรุงเทพมหานคร,12,15,นายภูริวรรธก์ ใจสำราญ,ประชาชน,49925,126l2phoIXU_8ORXIhxMCUGp1VhNEGEf9,https://drive.google.com/file/d/126l2phoIXU_8ORXIhxMCUGp1VhNEGEf9/view
