province,district_number,name,form_type,delta,sum_votes,valid_votes,has_extracted,drive_id,drive_url
"น่าน","1","น่าน เขต 1 (แบ่งเขต)","constituency","-82286","0","82286","false","missing::น่าน::1::constituency",""
"นครพนม","2","นครพนม เขต 2 (บช)","party_list","-81917","0","81917","false","missing::นครพนม::2::party_list",""
"กรุงเทพมหานคร","15","กรุงเทพมหานคร เขต 15 (แบ่งเขต)","constituency","-81890","0","81890","false","missing::กรุงเทพมหานคร::15::constituency",""
"กรุงเทพมหานคร","15","กรุงเทพมหานคร เขต 15 (บช)","party_list","-81890","0","81890","false","missing::กรุงเทพมหานคร::15::party_list",""
"อุดรธานี","6","อุดรธานี เขต 6 (บช)","party_list","-73916","0","73916","false","missing::อุดรธานี::6::party_list",""
"เชียงราย","5","เชียงราย เขต 5","constituency","-100","91365","91465","true","1Kb8ql_MqEHAS9VJevXvBIWg4hz-1gTA6","https://drive.google.com/file/d/1Kb8ql_MqEHAS9VJevXvBIWg4hz-1gTA6/view"
"นนทบุรี","6","นนทบุรี เขต 6 (บช)","party_list","-100","103366","103466","true","1FOoRVeiYO1JkpWlgOgAMfNsjhHUdq-OI","https://drive.google.com/file/d/1FOoRVeiYO1JkpWlgOgAMfNsjhHUdq-OI/view"
"ภูเก็ต","1","ภูเก็ต เขต 1","constituency","-100","66360","66460","true","1UL0_qHKvRSmWf0Deo1IwKIIOlDzDzjmd","https://drive.google.com/file/d/1UL0_qHKvRSmWf0Deo1IwKIIOlDzDzjmd/view"
"สกลนคร","4","สกลนคร เขต 4 (บช)","party_list","-100","76144","76244","true","1KKoB8PCeeB0KNv5cuRMr8WQ1LPCURFUf","https://drive.google.com/file/d/1KKoB8PCeeB0KNv5cuRMr8WQ1LPCURFUf/view"
"สุรินทร์","3","สุรินทร์ เขต 3 (บช)","party_list","-100","78837","78937","true","1l9CnCwAhN00-SoFJd22ABhW_Teb5cWMo","https://drive.google.com/file/d/1l9CnCwAhN00-SoFJd22ABhW_Teb5cWMo/view"
"ราชบุรี","2","ราชบุรี เขต 2 (บช)","party_list","99","89744","89645","true","1JmcbH78MSkmA4oM5BK1g2m9cbRWrTvn_","https://drive.google.com/file/d/1JmcbH78MSkmA4oM5BK1g2m9cbRWrTvn_/view"
"กำแพงเพชร","1","กำแพงเพชร เขต 1 (บช)","party_list","96","91264","91168","true","1TAumYeeAL79Wyq640wH6KguHuGvVs0a_","https://drive.google.com/file/d/1TAumYeeAL79Wyq640wH6KguHuGvVs0a_/view"
"สระแก้ว","3","สระแก้ว เขต 3 (บช)","party_list","85","92333","92248","true","1Q-K5Vy2zeWafPEvfjIanoB9rq1DT2aSI","https://drive.google.com/file/d/1Q-K5Vy2zeWafPEvfjIanoB9rq1DT2aSI/view"
"กำแพงเพชร","3","กำแพงเพชร เขต 3 (บช)","party_list","75","81932","81857","true","1JKuTUuv2_jAxTwFMQy1yY64naTKKLMpN","https://drive.google.com/file/d/1JKuTUuv2_jAxTwFMQy1yY64naTKKLMpN/view"
"กรุงเทพมหานคร","3","กรุงเทพมหานคร เขต 3 (บช)","party_list","64","78875","78811","true","12PCZZ-z57PUhbjVN66TD4v71KuT5rmXn","https://drive.google.com/file/d/12PCZZ-z57PUhbjVN66TD4v71KuT5rmXn/view"
"นครศรีธรรมราช","5","นครศรีธรรมราช เขต 5 (บช)","party_list","57","100951","100894","true","1soT_TqXpEYf184nVPomy4dwzFBYQVPW3","https://drive.google.com/file/d/1soT_TqXpEYf184nVPomy4dwzFBYQVPW3/view"
"ศรีสะเกษ","2","ศรีสะเกษ เขต 2 (บช)","party_list","55","79352","79297","true","1-JjjxtDaYbpE0_7sCR_qUYf8bCrSEaEY","https://drive.google.com/file/d/1-JjjxtDaYbpE0_7sCR_qUYf8bCrSEaEY/view"
"นครสวรรค์","2","นครสวรรค์ เขต 2 (บช)","party_list","50","94978","94928","true","1uxpeyJsHI9u2yjsWyWbtznqCWqydgrq5","https://drive.google.com/file/d/1uxpeyJsHI9u2yjsWyWbtznqCWqydgrq5/view"
"นราธิวาส","2","นราธิวาส เขต 2","constituency","50","70635","70585","true","1u9Djagcs-xpQxfkHQWjODtSKXzXOQfQd","https://drive.google.com/file/d/1u9Djagcs-xpQxfkHQWjODtSKXzXOQfQd/view"
"พิจิตร","1","พิจิตร เขต 1 (บช)","party_list","50","91071","91021","true","1EqYsbTpKbYhgxlWOBnmlEUoewpeZi9VK","https://drive.google.com/file/d/1EqYsbTpKbYhgxlWOBnmlEUoewpeZi9VK/view"
"อุตรดิตถ์","2","อุตรดิตถ์ เขต 2","constituency","50","74992","74942","true","1C7X-Mz5lTfrrSMmgrA95MDVFTbyYrh_-","https://drive.google.com/file/d/1C7X-Mz5lTfrrSMmgrA95MDVFTbyYrh_-/view"
"กรุงเทพมหานคร","11","กรุงเทพมหานคร เขต 11 (บช)","party_list","-45","96112","96157","true","1Jn04KDYVmVblmPMmgIc_Z0Vnqjie9Zps","https://drive.google.com/file/d/1Jn04KDYVmVblmPMmgIc_Z0Vnqjie9Zps/view"
"อุดรธานี","8","อุดรธานี เขต 8 (บช)","party_list","44","70133","70089","true","1w_SBbwaAtKrjiTr1Xpd9rtSj8awDJaAu","https://drive.google.com/file/d/1w_SBbwaAtKrjiTr1Xpd9rtSj8awDJaAu/view"
"ร้อยเอ็ด","8","ร้อยเอ็ด เขต 8 (บช)","party_list","40","84903","84863","true","1DcJZYk_cv9elrpMzvyZJwJbwyq-nwJ_C","https://drive.google.com/file/d/1DcJZYk_cv9elrpMzvyZJwJbwyq-nwJ_C/view"
"มหาสารคาม","4","มหาสารคาม เขต 4 (บช)","party_list","38","79695","79657","true","1-m1GYDC8rHZ-h4Cp7eYpsHb4frFogqs4","https://drive.google.com/file/d/1-m1GYDC8rHZ-h4Cp7eYpsHb4frFogqs4/view"
