province,district_number,drive_id,valid,sum_votes,delta
กรุงเทพมหานคร,3,12PCZZ-z57PUhbjVN66TD4v71KuT5rmXn,78875,78811,64
กรุงเทพมหานคร,11,1Jn04KDYVmVblmPMmgIc_Z0Vnqjie9Zps,96112,96157,-45
กรุงเทพมหานคร,15,missing::กรุงเทพมหานคร::15::party_list,81890,0,81890
กำแพงเพชร,3,1JKuTUuv2_jAxTwFMQy1yY64naTKKLMpN,81932,81857,75
นครสวรรค์,2,1uxpeyJsHI9u2yjsWyWbtznqCWqydgrq5,94978,94928,50
พัทลุง,3,1GiklxDqIMRTEdCAF_Fs2zZdQOHFL8T6J,110887,110884,3
พิจิตร,1,1EqYsbTpKbYhgxlWOBnmlEUoewpeZi9VK,91071,91021,50
มหาสารคาม,3,1m6p0W60L7ylSlN-MnOrzWw19qf8Pl_Dx,83196,83169,27
มหาสารคาม,4,1-m1GYDC8rHZ-h4Cp7eYpsHb4frFogqs4,79695,79657,38
มุกดาหาร,2,1-Kb6C7orOGn7_e0Hb0-H7CslLQTUkH9T,93394,93374,20
ระยอง,1,1RxBl92eWFsLYeYnuNys7UwGRub9ODkE3,86337,86327,10
ราชบุรี,3,1VPSZqWXLeZ-r7i0UgEJe1Anv3cYOM0II,98080,98075,5
ร้อยเอ็ด,4,1WMlPUNDl0MMw2FKUkj9S8QOIIciPpJYO,79301,79291,10
ร้อยเอ็ด,8,1DcJZYk_cv9elrpMzvyZJwJbwyq-nwJ_C,84903,84863,40
ศรีสะเกษ,2,1-JjjxtDaYbpE0_7sCR_qUYf8bCrSEaEY,79352,79297,55
สงขลา,5,1I5u_s9TaHpYiuklM-IGg4RsaLHpqG8FQ,97917,98003,-86
สมุทรสาคร,3,116MCAtwTSvX8r1ZpO4IsmU__Ecy-SX3i,76686,76687,-1
สระแก้ว,3,1Q-K5Vy2zeWafPEvfjIanoB9rq1DT2aSI,92333,92248,85
หนองบัวลำภู,3,1suatd5eSNP4iRyJnRIc9xiU540_eFunX,76807,76802,5
อุดรธานี,6,missing::อุดรธานี::6::party_list,73916,0,73916
อุดรธานี,8,1w_SBbwaAtKrjiTr1Xpd9rtSj8awDJaAu,70133,70089,44
อ่างทอง,2,1lVNzUv0nyPdUfU7bLnPf9JHx_AOgls0i,78266,78264,2
