province,district_number,form_type,drive_id,valid_current,valid_killernay,diff_key_count,abs_delta_sum,sample
กรุงเทพมหานคร,5,party_list,17KQ-MXVGSeRLj_TGp1R6zwTBBG_TKfOd,92886,92886,57,177871,1:19->0 | 2:145->19 | 3:56->145 | 4:210->56 | 5:102->210 | 6:2239->102 | 7:108->2239 | 8:192->108
สกลนคร,1,party_list,1kIm0liXTa7mJ1XM8TzzFkPE7mYqvtBqX,89020,89020,39,103461,18:36->None | 19:30->36 | 20:26->30 | 21:50->26 | 22:36->50 | 23:46->36 | 24:193->46 | 25:23->193
กรุงเทพมหานคร,7,constituency,1ValgLEY9IDP2tjduGw73t2M8x6aEuSKl,85181,85181,8,86648,1:2062->8012 | 2:1406->288 | 3:40962->6236 | 4:12037->11163 | 6:11163->12037 | 8:6236->40962 | 9:8012->1406 | 13:288->2062
กรุงเทพมหานคร,28,constituency,1BbPEmZso37SzPaFKWN8y-YF-BQCTdBjZ,91560,91560,10,85828,1:47692->13153 | 2:13153->12310 | 3:12310->47692 | 4:7586->2236 | 5:2236->1831 | 6:2071->1033 | 7:1831->2071 | 8:1609->870
นครราชสีมา,13,party_list,1aqb4gW7J2F7hpIeDGqbcitGTlzMFJzD7,69798,69798,34,72228,23:30->58 | 24:58->30 | 25:30->119 | 26:119->2423 | 27:2423->127 | 28:127->431 | 29:431->133 | 30:133->147
นครศรีธรรมราช,5,party_list,1soT_TqXpEYf184nVPomy4dwzFBYQVPW3,100951,100951,17,40539,41:24->0 | 42:1414->24 | 43:147->1414 | 44:33->147 | 45:51->33 | 46:18520->51 | 47:128->18520 | 48:86->128
สกลนคร,2,constituency,127TllTdQoVVUB-tM5pwYwAyb1evUW4DP,83880,83880,4,38310,1:633->19074 | 3:19074->584 | 6:584->1298 | 8:1298->633
นนทบุรี,6,constituency,1A3Bd-NMdEFtIljMRpAMp98JHq0Xpija5,99026,99026,2,1836,7:1741->823 | 8:823->1741
สุโขทัย,3,party_list,1yDDqHHb41bUcAyQcHXZdun4A1Da8kwmg,74676,74676,5,768,18:18->43 | 19:43->32 | 20:32->391 | 21:391->32 | 22:32->18
สงขลา,4,party_list,1E0O4j3G10-4XAREzQE2ll_XR9qgX6Nq1,95827,95827,2,506,3:127->None | 4:633->127
ตราด,1,constituency,1jz-0kVy9dA3AH5EAzo4iPBP0MpfwO1Gw,115576,115576,2,454,3:4084->3857 | 4:3857->4084
กาฬสินธุ์,1,party_list,1VKae75PH9ewqe33kglXKzZdZQf1t2dJo,82880,82880,3,451,18:22->21 | 35:266->666 | 51:60->10
สกลนคร,7,party_list,16FI3vc3qiiaIxNaXN3WLn8c3a6alE-rQ,71983,71983,1,400,33:152->552
นครสวรรค์,5,party_list,1vifvpiF4lzLzS_kiWkYuYhZDQrqIy5wo,85271,85271,2,122,46:316->255 | 47:255->316
กำแพงเพชร,1,party_list,1TAumYeeAL79Wyq640wH6KguHuGvVs0a_,91164,91168,1,100,38:149->249
นครราชสีมา,10,party_list,1lUcGZjwlQ-1n3osX8Bq98g1spydLs_qE,101587,101587,1,20,5:1194->1174
ชัยภูมิ,1,party_list,1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o,81337,81337,4,18,13:635->644 | 16:251->None | 19:58->None | 39:62->53
ปัตตานี,2,party_list,1gpZ3Cr_r6LR_LyapXIZO2EPou774f4RF,75538,75538,2,13,28:110->97 | 49:97->None
นครปฐม,3,party_list,1JIM7_8xeyGmJfDlDfPovZWY_jG817FmD,82640,82640,3,3,18:35->32 | 19:26->None | 57:111->None
นครสวรรค์,6,party_list,1487ZDm0vUn3rkEALvhKUvTHsIAStHHY-,81637,81637,3,0,21:60->None | 24:206->None | 44:1015->None
ปราจีนบุรี,1,party_list,1TAXGRGeK1vt5KXaiUbzwaxxkin1nPHuH,84899,84899,3,0,15:86->None | 21:71->None | 27:4202->None
ขอนแก่น,7,party_list,1GDCFtiEf56CaCcxbXLTodwrzB97ecoxJ,83257,83257,2,0,18:31->None | 21:43->None
ปราจีนบุรี,3,party_list,1Y9pZ76pSpv19tY_Z6pHo_ArL8M7FPkMC,84893,84893,2,0,48:347->None | 52:21->None
กรุงเทพมหานคร,12,party_list,17kN56fpRgdAKLnClJxTKRA74idHwxMCV,106754,106754,1,0,24:18->None
กรุงเทพมหานคร,19,party_list,18CoxX7jIOV3Oo-m5jqj6FEvkPsSQ25UF,95000,95000,1,0,19:27->None
มหาสารคาม,6,party_list,1kxoESaaABDMAr6Y7TdVhSbfCUA2zUWlr,85988,85988,1,0,19:43->None
สตูล,2,party_list,1C8Pi5_EoX5VwrgKwN2KsDNxAgu5rmfFB,92747,92747,1,0,22:46->None
อุตรดิตถ์,2,party_list,1fx1cHJBn41Py_WC7uxiwqTsRQnR4O50j,74563,74563,1,0,19:47->None
