province,district_number,drive_id,diff_key_count,abs_delta_sum,sample_diffs
นครราชสีมา,13,1aqb4gW7J2F7hpIeDGqbcitGTlzMFJzD7,51,110020,6:0->2241(-2241) | 7:0->341(-341) | 8:2241->468(+1773) | 9:341->16963(-16622) | 10:468->387(+81) | 11:16963->4030(+12933) | 12:383->296(+87) | 13:4030->606(+3424) | 14:296->52(+244) | 15:106->97(+9) | 16:52->260(-208) | 17:97->177(-80)
สกลนคร,1,1kIm0liXTa7mJ1XM8TzzFkPE7mYqvtBqX,37,103461,19:30->36(-6) | 20:26->30(-4) | 21:50->26(+24) | 22:36->50(-14) | 23:46->36(+10) | 24:193->46(+147) | 25:23->193(-170) | 26:69->23(+46) | 27:1934->69(+1865) | 28:116->1934(-1818) | 29:455->116(+339) | 30:136->455(-319)
นนทบุรี,3,1GeJeOFXCxU7a9ptjWupuCXce-Lw7hLes,4,95644,43:47712->554(+47158) | 45:554->42(+512) | 46:185->47712(-47527) | 47:632->185(+447)
พัทลุง,3,1GiklxDqIMRTEdCAF_Fs2zZdQOHFL8T6J,4,35947,34:138->74(+64) | 35:148->138(+10) | 36:18046->148(+17898) | 37:71->18046(-17975)
ปทุมธานี,2,14-4z4Dc9kLgJ2sehT1Msv74gjj7Bnxml,5,10672,9:17563->17463(+100) | 26:4638->75(+4563) | 27:114->4638(-4524) | 28:837->114(+723) | 29:75->837(-762)
ปราจีนบุรี,1,1TAXGRGeK1vt5KXaiUbzwaxxkin1nPHuH,4,3333,17:86->138(-52) | 23:71->52(+19) | 28:161->160(+1) | 29:4202->941(+3261)
นครราชสีมา,10,1lUcGZjwlQ-1n3osX8Bq98g1spydLs_qE,3,3314,7:0->1963(-1963) | 8:1963->677(+1286) | 24:0->65(-65)
นครราชสีมา,15,1ANq39EuBPU1dpnDnfrvSgukgzeMoeUst,2,1873,1:0->1837(-1837) | 19:0->36(-36)
นครสวรรค์,6,1487ZDm0vUn3rkEALvhKUvTHsIAStHHY-,4,1710,1:0->697(-697) | 22:60->58(+2) | 25:206->78(+128) | 45:1015->132(+883)
ชัยภูมิ,1,1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o,6,1540,13:0->644(-644) | 14:635->64(+571) | 15:64->101(-37) | 17:101->105(-4) | 18:251->20(+231) | 39:0->53(-53)
น่าน,3,1MFSF9N2MlPn1zgS_DDvrtE0KIYRgzmAj,5,1450,7:869->454(+415) | 8:454->869(-415) | 48:688->444(+244) | 49:444->688(-244) | 57:0->132(-132)
อุทัยธานี,2,1wAmGK6xGSHvA7CLwF4Qlj8QSD8QeH1mm,2,1075,1:0->843(-843) | 4:0->232(-232)
ฉะเชิงเทรา,2,1SJzm-Uul8xxJXCoFfGWhxlOFf1pULfYP,3,739,9:17513->17413(+100) | 33:0->632(-632) | 50:0->7(-7)
ระยอง,4,11bOQwczbe1x2Mx-Bb_3RsWOYrR7O1t8D,2,585,1:0->473(-473) | 33:0->112(-112)
นครปฐม,6,1edFWLejArJQA1PKk_ukTFPUrBadcqdjT,2,557,1:0->378(-378) | 4:0->179(-179)
ปัตตานี,3,1CtqsjgpZ4lNgP7ncszLiwfKg9AG8ZOIk,2,519,5:0->468(-468) | 38:0->51(-51)
นครปฐม,3,1JIM7_8xeyGmJfDlDfPovZWY_jG817FmD,2,464,4:53->513(-460) | 20:26->30(-4)
สงขลา,4,1E0O4j3G10-4XAREzQE2ll_XR9qgX6Nq1,1,463,5:633->170(+463)
นครราชสีมา,4,11CPiXk5I-7dDEyeFCQ92DxwRMN5kgP4_,1,420,1:0->420(-420)
อุบลราชธานี,7,16hUZhXo2517w-72EnVv0rYpkeOlqQ7_s,1,360,46:14484->14844(-360)
สุราษฎร์ธานี,4,14rlLfimeAkhgDAP6dERIF1Xh4sxyqTpB,2,340,27:57643->57683(-40) | 31:375->75(+300)
ศรีสะเกษ,7,1PkRzlAfP6aPnAHn7mSqFLoZPwtF7RSTi,1,338,5:0->338(-338)
ขอนแก่น,3,16OISCaCy8u3P_6tXQ0Pg9ZyWuBoDkDGS,1,190,47:301->111(+190)
อุทัยธานี,1,14EWe6kmIMSYqtDLu6JUQYColK1iqbM61,1,171,4:0->171(-171)
ปราจีนบุรี,3,1Y9pZ76pSpv19tY_Z6pHo_ArL8M7FPkMC,1,136,49:347->211(+136)
เชียงใหม่,5,13v3hfBdvYyH5DEi2oyBlMk01294puZa8,1,107,57:0->107(-107)
กรุงเทพมหานคร,28,1awoGIPZJtfFq5wFTRTMS3IEbIkm0iqYW,1,106,28:0->106(-106)
ยโสธร,2,1_3dCeVrcsmSIH9JdzPl6MVV-H5k3cMJo,1,102,4:0->102(-102)
กำแพงเพชร,2,1UBIvrN7C6fYxebLeRlbVRrQRVMVyhMHp,1,100,46:27524->27424(+100)
ตราด,1,1rvAzvx4i5PFLNZvBolJascEq1CcNWoGo,1,100,57:173->73(+100)
นนทบุรี,6,1FOoRVeiYO1JkpWlgOgAMfNsjhHUdq-OI,1,100,10:670->570(+100)
สกลนคร,4,1KKoB8PCeeB0KNv5cuRMr8WQ1LPCURFUf,1,100,33:223->123(+100)
สุรินทร์,3,1l9CnCwAhN00-SoFJd22ABhW_Teb5cWMo,1,100,9:17579->17479(+100)
เพชรบูรณ์,3,1CYiElgYWXFwER8gYkkeH8q2sXVODgoR9,1,100,27:7557->7457(+100)
ราชบุรี,2,1JmcbH78MSkmA4oM5BK1g2m9cbRWrTvn_,1,99,57:0->99(-99)
สระแก้ว,3,1Q-K5Vy2zeWafPEvfjIanoB9rq1DT2aSI,1,85,57:0->85(-85)
กำแพงเพชร,3,1JKuTUuv2_jAxTwFMQy1yY64naTKKLMpN,1,75,57:0->75(-75)
กรุงเทพมหานคร,3,12PCZZ-z57PUhbjVN66TD4v71KuT5rmXn,3,64,10:246->286(-40) | 56:0->12(-12) | 57:0->12(-12)
นครศรีธรรมราช,5,1soT_TqXpEYf184nVPomy4dwzFBYQVPW3,2,57,41:0->24(-24) | 57:0->33(-33)
ศรีสะเกษ,2,1-JjjxtDaYbpE0_7sCR_qUYf8bCrSEaEY,1,55,57:0->55(-55)
กรุงเทพมหานคร,5,17KQ-MXVGSeRLj_TGp1R6zwTBBG_TKfOd,2,52,24:54->15(+39) | 57:0->13(-13)
นครสวรรค์,2,1uxpeyJsHI9u2yjsWyWbtznqCWqydgrq5,1,50,37:28543->28593(-50)
พิจิตร,1,1EqYsbTpKbYhgxlWOBnmlEUoewpeZi9VK,1,50,36:491->541(-50)
สตูล,2,1C8Pi5_EoX5VwrgKwN2KsDNxAgu5rmfFB,1,46,23:46->92(-46)
กรุงเทพมหานคร,11,1Jn04KDYVmVblmPMmgIc_Z0Vnqjie9Zps,1,45,38:93->48(+45)
อุดรธานี,8,1w_SBbwaAtKrjiTr1Xpd9rtSj8awDJaAu,2,44,35:245->285(-40) | 41:24->28(-4)
ร้อยเอ็ด,8,1DcJZYk_cv9elrpMzvyZJwJbwyq-nwJ_C,1,40,45:53->93(-40)
มหาสารคาม,4,1-m1GYDC8rHZ-h4Cp7eYpsHb4frFogqs4,1,38,57:0->38(-38)
มหาสารคาม,3,1m6p0W60L7ylSlN-MnOrzWw19qf8Pl_Dx,1,27,57:0->27(-27)
มหาสารคาม,6,1kxoESaaABDMAr6Y7TdVhSbfCUA2zUWlr,1,26,20:43->17(+26)
มุกดาหาร,2,1-Kb6C7orOGn7_e0Hb0-H7CslLQTUkH9T,1,20,11:3878->3898(-20)
ขอนแก่น,7,1GDCFtiEf56CaCcxbXLTodwrzB97ecoxJ,2,14,19:31->33(-2) | 22:43->31(+12)
ปัตตานี,2,1gpZ3Cr_r6LR_LyapXIZO2EPou774f4RF,1,13,28:110->97(+13)
ระยอง,1,1RxBl92eWFsLYeYnuNys7UwGRub9ODkE3,1,10,42:64->74(-10)
อุตรดิตถ์,2,1fx1cHJBn41Py_WC7uxiwqTsRQnR4O50j,1,10,20:47->57(-10)
กรุงเทพมหานคร,19,18CoxX7jIOV3Oo-m5jqj6FEvkPsSQ25UF,1,9,20:27->18(+9)
กรุงเทพมหานคร,12,17kN56fpRgdAKLnClJxTKRA74idHwxMCV,1,8,25:18->10(+8)
ร้อยเอ็ด,4,1WMlPUNDl0MMw2FKUkj9S8QOIIciPpJYO,1,6,44:882->888(-6)
ราชบุรี,3,1VPSZqWXLeZ-r7i0UgEJe1Anv3cYOM0II,1,5,42:4724->4729(-5)
หนองบัวลำภู,3,1suatd5eSNP4iRyJnRIc9xiU540_eFunX,1,5,3:620->625(-5)
สตูล,1,1HiHbB6MHWusDB87ONAvzTdMB84wX9uQK,1,1,27:25287->25286(+1)
สมุทรสาคร,3,116MCAtwTSvX8r1ZpO4IsmU__Ecy-SX3i,1,1,46:36221->36220(+1)
