province,district,diff,abs_diff,c_total,p_total,c_valid,c_invalid,c_blank,p_valid,p_invalid,p_blank,c_drive_id,p_drive_id,c_drive_url,p_drive_url,c_k_total,p_k_total,c_match_k,p_match_k,doc_flag
เชียงราย,2,-6,6,100731,100737,88811,6400,5520,91960,5143,3634,1b9HrzIznfnXfCITbgKJxhr28nfc8Z5SV,1CgYBct2TonrVrvzzAdwQ24_B07hcmPLX,https://drive.google.com/file/d/1b9HrzIznfnXfCITbgKJxhr28nfc8Z5SV/view,https://drive.google.com/file/d/1CgYBct2TonrVrvzzAdwQ24_B07hcmPLX/view,100731,100737,True,True,False
เชียงราย,3,-5,5,104922,104927,91475,8431,5016,95336,6268,3323,1q5PAvVu5uBRuxlO7IrYT7eKuaXfHxr2A,11MCOPYWVqKmIAkt8f9dlnZZ3gaQgY-am,https://drive.google.com/file/d/1q5PAvVu5uBRuxlO7IrYT7eKuaXfHxr2A/view,https://drive.google.com/file/d/11MCOPYWVqKmIAkt8f9dlnZZ3gaQgY-am/view,104922,104927,True,True,False
เชียงใหม่,1,-5,5,103006,103011,93695,2478,6833,96338,2642,4031,1NfltwwsfkpUzTIus-V2VMhCpOtuNiCQg,1YBTUUvGdAbBV0Nq4mwyvWrabD6be7uYe,https://drive.google.com/file/d/1NfltwwsfkpUzTIus-V2VMhCpOtuNiCQg/view,https://drive.google.com/file/d/1YBTUUvGdAbBV0Nq4mwyvWrabD6be7uYe/view,103006,103011,True,True,False
น่าน,3,-4,4,89541,89545,79242,5479,4820,81284,4915,3346,12NuiOsfdjhX9CFXanbIf0kd6zTLMkh3E,1MFSF9N2MlPn1zgS_DDvrtE0KIYRgzmAj,https://drive.google.com/file/d/12NuiOsfdjhX9CFXanbIf0kd6zTLMkh3E/view,https://drive.google.com/file/d/1MFSF9N2MlPn1zgS_DDvrtE0KIYRgzmAj/view,89541,89545,True,True,False
หนองบัวลำภู,1,-4,4,91459,91463,86812,2315,2332,85052,4425,1986,1q5gsnf_vzJJljLPV_DdE7mKd0SUo1PNM,17Ixe03oLcebA2rExiDKby-kf2Ic2TzK1,https://drive.google.com/file/d/1q5gsnf_vzJJljLPV_DdE7mKd0SUo1PNM/view,https://drive.google.com/file/d/17Ixe03oLcebA2rExiDKby-kf2Ic2TzK1/view,91459,91463,True,True,False
อุบลราชธานี,1,-3,3,99448,99451,87991,4184,7273,92206,3139,4106,1dSPVtLDJgCtYucK2orDqxQnJITODrR7C,1aGNukCcE7IB8YF6mX9MuO1NRUqz7cWm3,https://drive.google.com/file/d/1dSPVtLDJgCtYucK2orDqxQnJITODrR7C/view,https://drive.google.com/file/d/1aGNukCcE7IB8YF6mX9MuO1NRUqz7cWm3/view,99448,99451,True,True,False
เชียงราย,7,3,3,97669,97666,89036,4487,4146,88463,5624,3579,1sk0nGrprl5Fy6Kyz5o_R6NlE24eZyMYr,1zV7htOTRpIS9aiXfAFIIXzycjFD1Dlng,https://drive.google.com/file/d/1sk0nGrprl5Fy6Kyz5o_R6NlE24eZyMYr/view,https://drive.google.com/file/d/1zV7htOTRpIS9aiXfAFIIXzycjFD1Dlng/view,97669,97666,True,True,False
กรุงเทพมหานคร,5,2,2,96561,96559,90792,1289,4480,92886,1462,2211,12OhytfHmQj9DZwl72aJuFmjZtd5FQU-N,17KQ-MXVGSeRLj_TGp1R6zwTBBG_TKfOd,https://drive.google.com/file/d/12OhytfHmQj9DZwl72aJuFmjZtd5FQU-N/view,https://drive.google.com/file/d/17KQ-MXVGSeRLj_TGp1R6zwTBBG_TKfOd/view,96561,96559,True,True,False
กรุงเทพมหานคร,18,-2,2,87055,87057,80204,1421,5430,82064,2230,2763,1b62sjGfa-FTcRNvMPwYuLqpVeFlzcAo1,1B-qW1g5qi4Dz0uW9K2vTzZthRzdDX1zr,https://drive.google.com/file/d/1b62sjGfa-FTcRNvMPwYuLqpVeFlzcAo1/view,https://drive.google.com/file/d/1B-qW1g5qi4Dz0uW9K2vTzZthRzdDX1zr/view,87055,87057,True,True,False
ชลบุรี,1,-2,2,104344,104346,97585,2237,4522,98214,3108,3024,1o4aTepSQFEnoRV4owjzj0KXLy3C1aDeE,1RPliZCYMtid_66mMSptogZ2Ov7vLEEI6,https://drive.google.com/file/d/1o4aTepSQFEnoRV4owjzj0KXLy3C1aDeE/view,https://drive.google.com/file/d/1RPliZCYMtid_66mMSptogZ2Ov7vLEEI6/view,104344,104346,True,True,False
