province,district_number,form_type,drive_id,drive_url,valid_votes,invalid_votes,blank_votes,total_votes,votes_json,updated_by,update_reason
กระบี่,1,party_list,1tmEswtv_et-SilrPhGMrADBYgb7o7FAF,https://drive.google.com/file/d/1tmEswtv_et-SilrPhGMrADBYgb7o7FAF/view,91354,,,,"{""1"": 266, ""2"": 3417, ""3"": 466, ""4"": 352, ""5"": 374, ""6"": 1270, ""7"": 76, ""8"": 1364, ""9"": 2540, ""10"": 328, ""11"": 1549, ""12"": 190, ""13"": 362, ""14"": 31, ""15"": 29, ""16"": 62, ""17"": 109, ""18"": 23, ""19"": 55, ""20"": 6, ""21"": 30, ""22"": 51, ""23"": 70, ""24"": 111, ""25"": 19, ""26"": 125, ""27"": 34327, ""28"": 72, ""29"": 673, ""30"": 69, ""31"": 170, ""32"": 147, ""33"": 3609, ""34"": 98, ""35"": 99, ""36"": 102, ""37"": 15064, ""38"": 67, ""39"": 28, ""40"": 14, ""41"": 10, ""42"": 239, ""43"": 151, ""44"": 50, ""45"": 113, ""46"": 22325, ""47"": 151, ""48"": 93, ""49"": 168, ""50"": 10, ""51"": 26, ""52"": 3, ""53"": 6, ""54"": 17, ""55"": 13, ""56"": 122, ""57"": 43}",policy_take_killernay,user_policy_take_killernay_unless_invalid
กระบี่,2,party_list,19jHMap174RCPniYk-ouSw4Hjc4x_kP5_,https://drive.google.com/file/d/19jHMap174RCPniYk-ouSw4Hjc4x_kP5_/view,81262,2948,1906,,"{""1"": 194, ""2"": 2137, ""3"": 152, ""4"": 369, ""5"": 277, ""6"": 782, ""7"": 112, ""8"": 1101, ""9"": 1596, ""10"": 261, ""11"": 1094, ""12"": 183, ""13"": 198, ""14"": 27, ""15"": 24, ""16"": 54, ""17"": 125, ""18"": 21, ""19"": 66, ""20"": 22, ""21"": 37, ""22"": 32, ""23"": 43, ""24"": 158, ""25"": 23, ""26"": 182, ""27"": 47619, ""28"": 86, ""29"": 332, ""30"": 43, ""31"": 110, ""32"": 94, ""33"": 525, ""34"": 53, ""35"": 57, ""36"": 159, ""37"": 8218, ""38"": 38, ""39"": 37, ""40"": 20, ""41"": 18, ""42"": 188, ""43"": 151, ""44"": 53, ""45"": 86, ""46"": 13386, ""47"": 119, ""48"": 63, ""49"": 168, ""50"": 11, ""51"": 19, ""52"": 5, ""53"": 11, ""54"": 24, ""55"": 20, ""56"": 241, ""57"": 38}",policy_take_killernay,user_policy_take_killernay_unless_invalid
กระบี่,3,party_list,17AASdaeTCYe2PU4qDr31GNBjag0QUNfy,https://drive.google.com/file/d/17AASdaeTCYe2PU4qDr31GNBjag0QUNfy/view,89432,,,,"{""1"": 488, ""2"": 673, ""3"": 209, ""4"": 450, ""5"": 2159, ""6"": 798, ""7"": 100, ""8"": 1258, ""9"": 2057, ""10"": 289, ""11"": 1224, ""12"": 200, ""13"": 300, ""14"": 35, ""15"": 43, ""16"": 62, ""17"": 122, ""18"": 21, ""19"": 80, ""20"": 17, ""21"": 46, ""22"": 34, ""23"": 56, ""24"": 82, ""25"": 85, ""26"": 171, ""27"": 46386, ""28"": 87, ""29"": 369, ""30"": 76, ""31"": 83, ""32"": 91, ""33"": 1324, ""34"": 107, ""35"": 146, ""36"": 73, ""37"": 13112, ""38"": 59, ""39"": 37, ""40"": 17, ""41"": 5, ""42"": 487, ""43"": 75, ""44"": 32, ""45"": 54, ""46"": 15095, ""47"": 114, ""48"": 55, ""49"": 114, ""50"": 9, ""51"": 34, ""52"": 9, ""53"": 12, ""54"": 11, ""55"": 20, ""56"": 232, ""57"": 48}",policy_take_killernay,user_policy_take_killernay_unless_invalid
กรุงเทพมหานคร,1,party_list,1RM3qfUAS0JITAJql_TnTn5899nD8au33,https://drive.google.com/file/d/1RM3qfUAS0JITAJql_TnTn5899nD8au33/view,78517,1726,2178,,"{""1"": 66, ""2"": 130, ""3"": 37, ""4"": 35, ""5"": 226, ""6"": 1857, ""7"": 103, ""8"": 323, ""9"": 6398, ""10"": 300, ""11"": 1292, ""12"": 374, ""13"": 160, ""14"": 7, ""15"": 29, ""16"": 47, ""17"": 47, ""18"": 10, ""19"": 8, ""20"": 17, ""21"": 22, ""22"": 8, ""23"": 43, ""24"": 14, ""25"": 7, ""26"": 39, ""27"": 11795, ""28"": 45, ""29"": 2173, ""30"": 14, ""31"": 40, ""32"": 19, ""33"": 38, ""34"": 17, ""35"": 144, ""36"": 43, ""37"": 16471, ""38"": 33, ""39"": 79, ""40"": 11, ""41"": 8, ""42"": 114, ""43"": 69, ""44"": 100, ""45"": 42, ""46"": 34215, ""47"": 66, ""48"": 675, ""49"": 650, ""50"": 1, ""51"": 13, ""52"": 6, ""53"": 3, ""54"": 8, ""55"": 6, ""56"": 12, ""57"": 8}",policy_take_killernay,user_policy_take_killernay_unless_invalid
กรุงเทพมหานคร,2,party_list,1l8FFCSWg3cBfI79LLiauIV5AOcH8PsJ6,https://drive.google.com/file/d/1l8FFCSWg3cBfI79LLiauIV5AOcH8PsJ6/view,86220,,,,"{""1"": 39, ""2"": 280, ""3"": 69, ""4"": 129, ""5"": 215, ""6"": 1819, ""7"": 116, ""8"": 211, ""9"": 6226, ""10"": 358, ""11"": 1578, ""12"": 388, ""13"": 189, ""14"": 16, ""15"": 37, ""16"": 51, ""17"": 33, ""18"": 9, ""19"": 46, ""20"": 13, ""21"": 32, ""22"": 17, ""23"": 76, ""24"": 27, ""25"": 6, ""26"": 34, ""27"": 11048, ""28"": 47, ""29"": 2050, ""30"": 17, ""31"": 34, ""32"": 23, ""33"": 65, ""34"": 31, ""35"": 146, ""36"": 32, ""37"": 18021, ""38"": 37, ""39"": 108, ""40"": 4, ""41"": 12, ""42"": 270, ""43"": 99, ""44"": 114, ""45"": 154, ""46"": 40383, ""47"": 76, ""48"": 707, ""49"": 637, ""50"": 3, ""51"": 17, ""52"": 11, ""53"": 3, ""54"": 12, ""55"": 7, ""56"": 21, ""57"": 17}",policy_take_killernay,user_policy_take_killernay_unless_invalid
กรุงเทพมหานคร,3,party_list,12PCZZ-z57PUhbjVN66TD4v71KuT5rmXn,https://drive.google.com/file/d/12PCZZ-z57PUhbjVN66TD4v71KuT5rmXn/view,78875,,,,"{""1"": 31, ""2"": 376, ""3"": 149, ""4"": 48, ""5"": 112, ""6"": 1613, ""7"": 101, ""8"": 274, ""9"": 5700, ""10"": 286, ""11"": 1304, ""12"": 424, ""13"": 200, ""14"": 10, ""15"": 34, ""16"": 38, ""17"": 33, ""18"": 6, ""19"": 19, ""20"": 15, ""21"": 23, ""22"": 31, ""23"": 39, ""24"": 16, ""25"": 10, ""26"": 33, ""27"": 12667, ""28"": 60, ""29"": 1669, ""30"": 13, ""31"": 35, ""32"": 21, ""33"": 68, ""34"": 20, ""35"": 118, ""36"": 42, ""37"": 15604, ""38"": 39, ""39"": 64, ""40"": 7, ""41"": 10, ""42"": 153, ""43"": 83, ""44"": 44, ""45"": 44, ""46"": 35819, ""47"": 89, ""48"": 583, ""49"": 618, ""50"": 1, ""51"": 24, ""52"": 7, ""53"": 10, ""54"": 6, ""55"": 8, ""56"": 12, ""57"": 12}",policy_take_killernay,user_policy_take_killernay_unless_invalid
กรุงเทพมหานคร,4,party_list,11TtqKq_g89uBA4QUWeYEpWMa-2RCvWWY,https://drive.google.com/file/d/11TtqKq_g89uBA4QUWeYEpWMa-2RCvWWY/view,79302,,,,"{""1"": 353, ""2"": 306, ""3"": 54, ""4"": 88, ""5"": 101, ""6"": 1674, ""7"": 74, ""8"": 268, ""9"": 5499, ""10"": 298, ""11"": 1399, ""12"": 365, ""13"": 186, ""14"": 12, ""15"": 48, ""16"": 44, ""17"": 39, ""18"": 4, ""19"": 12, ""20"": 13, ""21"": 35, ""22"": 6, ""23"": 50, ""24"": 42, ""25"": 12, ""26"": 40, ""27"": 11540, ""28"": 53, ""29"": 1480, ""30"": 27, ""31"": 39, ""32"": 16, ""33"": 72, ""34"": 20, ""35"": 107, ""36"": 43, ""37"": 16202, ""38"": 46, ""39"": 67, ""40"": 4, ""41"": 9, ""42"": 861, ""43"": 93, ""44"": 47, ""45"": 40, ""46"": 36150, ""47"": 72, ""48"": 655, ""49"": 565, ""50"": 4, ""51"": 21, ""52"": 4, ""53"": 3, ""54"": 12, ""55"": 7, ""56"": 8, ""57"": 13}",policy_take_killernay,user_policy_take_killernay_unless_invalid
กรุงเทพมหานคร,5,party_list,17KQ-MXVGSeRLj_TGp1R6zwTBBG_TKfOd,https://drive.google.com/file/d/17KQ-MXVGSeRLj_TGp1R6zwTBBG_TKfOd/view,92886,1462,2211,,"{""1"": 19, ""2"": 145, ""3"": 56, ""4"": 210, ""5"": 102, ""6"": 2239, ""7"": 108, ""8"": 192, ""9"": 7684, ""10"": 310, ""11"": 1307, ""12"": 334, ""13"": 376, ""14"": 14, ""15"": 28, ""16"": 80, ""17"": 33, ""18"": 2, ""19"": 19, ""20"": 15, ""21"": 32, ""22"": 10, ""23"": 54, ""24"": 15, ""25"": 29, ""26"": 76, ""27"": 9790, ""28"": 70, ""29"": 1554, ""30"": 13, ""31"": 39, ""32"": 14, ""33"": 125, ""34"": 35, ""35"": 155, ""36"": 53, ""37"": 19329, ""38"": 36, ""39"": 64, ""40"": 10, ""41"": 6, ""42"": 161, ""43"": 97, ""44"": 91, ""45"": 43, ""46"": 46080, ""47"": 83, ""48"": 795, ""49"": 682, ""50"": 5, ""51"": 16, ""52"": 7, ""53"": 5, ""54"": 9, ""55"": 5, ""56"": 12, ""57"": 13}",codex,manual_user_override_bkk5_partylist_40_45
กรุงเทพมหานคร,6,party_list,1bpWv-h95Kofiy5QSxIdC1Efp4HCK0E9S,https://drive.google.com/file/d/1bpWv-h95Kofiy5QSxIdC1Efp4HCK0E9S/view,96499,1835,2538,,"{""1"": 40, ""2"": 141, ""3"": 76, ""4"": 122, ""5"": 213, ""6"": 2942, ""7"": 256, ""8"": 259, ""9"": 8024, ""10"": 401, ""11"": 2620, ""12"": 332, ""13"": 293, ""14"": 51, ""15"": 50, ""16"": 55, ""17"": 48, ""18"": 15, ""19"": 23, ""20"": 14, ""21"": 21, ""22"": 20, ""23"": 45, ""24"": 16, ""25"": 16, ""26"": 81, ""27"": 10980, ""28"": 81, ""29"": 1924, ""30"": 25, ""31"": 41, ""32"": 17, ""33"": 57, ""34"": 24, ""35"": 112, ""36"": 212, ""37"": 17561, ""38"": 145, ""39"": 91, ""40"": 23, ""41"": 16, ""42"": 211, ""43"": 110, ""44"": 1950, ""45"": 45, ""46"": 44984, ""47"": 148, ""48"": 758, ""49"": 715, ""50"": 2, ""51"": 22, ""52"": 7, ""53"": 7, ""54"": 24, ""55"": 6, ""56"": 13, ""57"": 14}",codex,cdp_gemini_tablocked_2026-02-25
กรุงเทพมหานคร,7,party_list,1LOYfrXZdBQ46zkd2dB4JMFoPQ8MX8JeS,https://drive.google.com/file/d/1LOYfrXZdBQ46zkd2dB4JMFoPQ8MX8JeS/view,88053,,,,"{""1"": 79, ""2"": 225, ""3"": 120, ""4"": 257, ""5"": 177, ""6"": 5162, ""7"": 158, ""8"": 400, ""9"": 8129, ""10"": 454, ""11"": 2261, ""12"": 367, ""13"": 313, ""14"": 20, ""15"": 41, ""16"": 81, ""17"": 42, ""18"": 11, ""19"": 24, ""20"": 16, ""21"": 52, ""22"": 9, ""23"": 42, ""24"": 17, ""25"": 9, ""26"": 17, ""27"": 7869, ""28"": 75, ""29"": 1466, ""30"": 33, ""31"": 51, ""32"": 15, ""33"": 52, ""34"": 18, ""35"": 149, ""36"": 54, ""37"": 16552, ""38"": 46, ""39"": 74, ""40"": 18, ""41"": 15, ""42"": 153, ""43"": 142, ""44"": 103, ""45"": 274, ""46"": 40808, ""47"": 90, ""48"": 730, ""49"": 674, ""50"": 12, ""51"": 18, ""52"": 5, ""53"": 12, ""54"": 10, ""55"": 11, ""56"": 23, ""57"": 18}",policy_take_killernay,user_policy_take_killernay_unless_invalid
