province,district_number,drive_id,drive_url,name,parse_status,valid_votes,invalid_votes,blank_votes,row_count
ระยอง,1,10AVDRD0b5nAddj-ABauFnPLrDaI1muFU,https://drive.google.com/file/d/10AVDRD0b5nAddj-ABauFnPLrDaI1muFU/view,เทศบาลเมืองเนินพระ - 002 - บัญชีรายชื่อ.pdf,ok,,,,5
ขอนแก่น,2,10DQ49Wjg3FTlm8DkfvNbC2wCcVe5x-PW,https://drive.google.com/file/d/10DQ49Wjg3FTlm8DkfvNbC2wCcVe5x-PW/view,ประชามติ 10.pdf,no-forms,,,,0
เชียงราย,6,1-wyR3GXf_WIOnP1MD_ZdjWMXqf2zVf0y,https://drive.google.com/file/d/1-wyR3GXf_WIOnP1MD_ZdjWMXqf2zVf0y/view,06-แม่สาย-โป่งงาม (บช).pdf,no-forms,,,,0
สมุทรปราการ,4,1-v0fuicQNyo64rEZDuL2MgMSGt9npbPS,https://drive.google.com/file/d/1-v0fuicQNyo64rEZDuL2MgMSGt9npbPS/view,สส.5ทับ17 บช ชุด3.pdf,no-forms,,,,0
เชียงใหม่,1,10FXDsFk5OKmzGqLLi4Tvj0IPt4rPLj6a,https://drive.google.com/file/d/10FXDsFk5OKmzGqLLi4Tvj0IPt4rPLj6a/view,ต.ป่าแดด (สส 5-18 บช).pdf,no-forms,,,,0
สงขลา,2,10LRtIdwoGTb1C0Ua2orCOnYIo_yUg_55,https://drive.google.com/file/d/10LRtIdwoGTb1C0Ua2orCOnYIo_yUg_55/view,96 สส 5-18 บช.pdf,no-forms,,,,0
มหาสารคาม,1,10u8lgbnhiB4wJQewSETecI1T1T95wG41,https://drive.google.com/file/d/10u8lgbnhiB4wJQewSETecI1T1T95wG41/view,เกิ้ง-003-บัญชีรายชื่อ.pdf,no-forms,,,,0
เชียงใหม่,1,11PooBFBNx-1u5eoFTbJvblDXB6bxgh4U,https://drive.google.com/file/d/11PooBFBNx-1u5eoFTbJvblDXB6bxgh4U/view,ต.หายยา (สส 5-18 บช).pdf,no-forms,,,,0
เชียงใหม่,1,12mUx9X6F_Mhe7MYqXlsO6E8N4lHS9XS-,https://drive.google.com/file/d/12mUx9X6F_Mhe7MYqXlsO6E8N4lHS9XS-/view,ต.ช้างม่อย (สส 5-18).pdf,no-forms,,,,0
นครราชสีมา,1,11sarSnFz5Lnw4qucI-4k5e-4FU31fcPM,https://drive.google.com/file/d/11sarSnFz5Lnw4qucI-4k5e-4FU31fcPM/view,บช97.pdf,no-forms,,,,0
