drive_id,name,province,district,election_type,our_valid,killernay_csv_valid,killernay_drive_valid,delta,verdict,confidence,drive_url
1ANq39EuBPU1dpnDnfrvSgukgzeMoeUst,นครราชสีมา เขต 15 (บช),นครราชสีมา,15,party_list,90199,92036,92036,-1837,our_extraction_likely_wrong,high,https://drive.google.com/file/d/1ANq39EuBPU1dpnDnfrvSgukgzeMoeUst/view
1wAmGK6xGSHvA7CLwF4Qlj8QSD8QeH1mm,อุทัยธานี เขต 2 (บช),อุทัยธานี,2,party_list,76204,77047,77047,-843,our_extraction_likely_wrong,high,https://drive.google.com/file/d/1wAmGK6xGSHvA7CLwF4Qlj8QSD8QeH1mm/view
1SJzm-Uul8xxJXCoFfGWhxlOFf1pULfYP,ฉะเชิงเทรา เขต 2 (บช),ฉะเชิงเทรา,2,party_list,107267,107899,107899,-632,our_extraction_likely_wrong,high,https://drive.google.com/file/d/1SJzm-Uul8xxJXCoFfGWhxlOFf1pULfYP/view
11bOQwczbe1x2Mx-Bb_3RsWOYrR7O1t8D,ระยอง เขต 4 (บช),ระยอง,4,party_list,87877,88350,88350,-473,our_extraction_likely_wrong,high,https://drive.google.com/file/d/11bOQwczbe1x2Mx-Bb_3RsWOYrR7O1t8D/view
11CPiXk5I-7dDEyeFCQ92DxwRMN5kgP4_,นครราชสีมา เขต 4 (บช),นครราชสีมา,4,party_list,84775,85195,85195,-420,our_extraction_likely_wrong,high,https://drive.google.com/file/d/11CPiXk5I-7dDEyeFCQ92DxwRMN5kgP4_/view
1edFWLejArJQA1PKk_ukTFPUrBadcqdjT,นครปฐม เขต 6 (บช),นครปฐม,6,party_list,90479,90857,90857,-378,our_extraction_likely_wrong,high,https://drive.google.com/file/d/1edFWLejArJQA1PKk_ukTFPUrBadcqdjT/view
1soT_TqXpEYf184nVPomy4dwzFBYQVPW3,นครศรีธรรมราช เขต 5 (บช),นครศรีธรรมราช,5,party_list,100894,100918,100918,-24,our_extraction_likely_wrong,high,https://drive.google.com/file/d/1soT_TqXpEYf184nVPomy4dwzFBYQVPW3/view
1Oc6RvuUPxGsSHtjvpn5opoiaEkVMOWET,กรุงเทพมหานคร เขต 32,กรุงเทพมหานคร,32,constituency,85231,85631,85231,-400,ours_likely_correct_csv_stale_or_mismatch,high,https://drive.google.com/file/d/1Oc6RvuUPxGsSHtjvpn5opoiaEkVMOWET/view
1KTQwfCYT6bpqVPd0KkccjtexXf0PnAAI,กรุงเทพมหานคร เขต 33,กรุงเทพมหานคร,33,constituency,94516,94416,94516,100,ours_likely_correct_csv_stale_or_mismatch,high,https://drive.google.com/file/d/1KTQwfCYT6bpqVPd0KkccjtexXf0PnAAI/view
1UTdMPQ_1aUFOqo-4QgtQ2dUtxAypjbUO,นนทบุรี เขต 3,นนทบุรี,3,constituency,96621,96521,96621,100,ours_likely_correct_csv_stale_or_mismatch,high,https://drive.google.com/file/d/1UTdMPQ_1aUFOqo-4QgtQ2dUtxAypjbUO/view
1UL0_qHKvRSmWf0Deo1IwKIIOlDzDzjmd,ภูเก็ต เขต 1,ภูเก็ต,1,constituency,66460,66360,66460,100,ours_likely_correct_csv_stale_or_mismatch,high,https://drive.google.com/file/d/1UL0_qHKvRSmWf0Deo1IwKIIOlDzDzjmd/view
1UBbkVeBZm8EILgnGZWn0LZnAAVBPCmZw,สมุทรสงคราม เขต 1,สมุทรสงคราม,1,constituency,102038,101938,102038,100,ours_likely_correct_csv_stale_or_mismatch,high,https://drive.google.com/file/d/1UBbkVeBZm8EILgnGZWn0LZnAAVBPCmZw/view
1Fj2mnEa5kJASO5porZgBzbMnK_M5Wp-y,สุโขทัย เขต 3,สุโขทัย,3,constituency,73410,73310,73410,100,ours_likely_correct_csv_stale_or_mismatch,high,https://drive.google.com/file/d/1Fj2mnEa5kJASO5porZgBzbMnK_M5Wp-y/view
1Sh5Br6y0CQqPk2qn3JTqzCC2PivTtwZR,อุดรธานี เขต 6,อุดรธานี,6,constituency,77405,77505,77405,-100,ours_likely_correct_csv_stale_or_mismatch,high,https://drive.google.com/file/d/1Sh5Br6y0CQqPk2qn3JTqzCC2PivTtwZR/view
1Kb8ql_MqEHAS9VJevXvBIWg4hz-1gTA6,เชียงราย เขต 5,เชียงราย,5,constituency,91465,91365,91465,100,ours_likely_correct_csv_stale_or_mismatch,high,https://drive.google.com/file/d/1Kb8ql_MqEHAS9VJevXvBIWg4hz-1gTA6/view
1u9Djagcs-xpQxfkHQWjODtSKXzXOQfQd,นราธิวาส เขต 2,นราธิวาส,2,constituency,70585,70635,70585,-50,ours_likely_correct_csv_stale_or_mismatch,high,https://drive.google.com/file/d/1u9Djagcs-xpQxfkHQWjODtSKXzXOQfQd/view
1C7X-Mz5lTfrrSMmgrA95MDVFTbyYrh_-,อุตรดิตถ์ เขต 2,อุตรดิตถ์,2,constituency,74942,74992,74942,-50,ours_likely_correct_csv_stale_or_mismatch,high,https://drive.google.com/file/d/1C7X-Mz5lTfrrSMmgrA95MDVFTbyYrh_-/view
1XeWHpkeyRO-WChTNBrPJ9cilsVcfQZ7R,นครสวรรค์ เขต 2,นครสวรรค์,2,constituency,96980,96984,96980,-4,ours_likely_correct_csv_stale_or_mismatch,high,https://drive.google.com/file/d/1XeWHpkeyRO-WChTNBrPJ9cilsVcfQZ7R/view
1MEEhXhNx4j9A17_xD92KmQ4e63SmhDpg,กรุงเทพมหานคร เขต 11,กรุงเทพมหานคร,11,constituency,94994,94993,94994,1,ours_likely_correct_csv_stale_or_mismatch,high,https://drive.google.com/file/d/1MEEhXhNx4j9A17_xD92KmQ4e63SmhDpg/view
