"priority","province","district","election_type","delta","mismatch_type","drive_id","drive_url"
"1873","นครราชสีมา","15","party_list","-1873","other_mismatch","1ANq39EuBPU1dpnDnfrvSgukgzeMoeUst","https://drive.google.com/file/d/1ANq39EuBPU1dpnDnfrvSgukgzeMoeUst/view"
"1130","ปราจีนบุรี","1","party_list","-1130","other_mismatch","1TAXGRGeK1vt5KXaiUbzwaxxkin1nPHuH","https://drive.google.com/file/d/1TAXGRGeK1vt5KXaiUbzwaxxkin1nPHuH/view"
"1075","อุทัยธานี","2","party_list","-1075","other_mismatch","1wAmGK6xGSHvA7CLwF4Qlj8QSD8QeH1mm","https://drive.google.com/file/d/1wAmGK6xGSHvA7CLwF4Qlj8QSD8QeH1mm/view"
"965","นครสวรรค์","6","party_list","-965","medium_digit_parse_error","1487ZDm0vUn3rkEALvhKUvTHsIAStHHY-","https://drive.google.com/file/d/1487ZDm0vUn3rkEALvhKUvTHsIAStHHY-/view"
"742","นครราชสีมา","10","party_list","-742","medium_digit_parse_error","1lUcGZjwlQ-1n3osX8Bq98g1spydLs_qE","https://drive.google.com/file/d/1lUcGZjwlQ-1n3osX8Bq98g1spydLs_qE/view"
"648","นครราชสีมา","13","party_list","-648","medium_digit_parse_error","1aqb4gW7J2F7hpIeDGqbcitGTlzMFJzD7","https://drive.google.com/file/d/1aqb4gW7J2F7hpIeDGqbcitGTlzMFJzD7/view"
"590","นนทบุรี","3","party_list","590","medium_digit_parse_error","1GeJeOFXCxU7a9ptjWupuCXce-Lw7hLes","https://drive.google.com/file/d/1GeJeOFXCxU7a9ptjWupuCXce-Lw7hLes/view"
"585","ระยอง","4","party_list","-585","medium_digit_parse_error","11bOQwczbe1x2Mx-Bb_3RsWOYrR7O1t8D","https://drive.google.com/file/d/11bOQwczbe1x2Mx-Bb_3RsWOYrR7O1t8D/view"
"557","นครปฐม","6","party_list","-557","medium_digit_parse_error","1edFWLejArJQA1PKk_ukTFPUrBadcqdjT","https://drive.google.com/file/d/1edFWLejArJQA1PKk_ukTFPUrBadcqdjT/view"
"539","ฉะเชิงเทรา","2","party_list","-539","medium_digit_parse_error","1SJzm-Uul8xxJXCoFfGWhxlOFf1pULfYP","https://drive.google.com/file/d/1SJzm-Uul8xxJXCoFfGWhxlOFf1pULfYP/view"
"519","ปัตตานี","3","party_list","-519","medium_digit_parse_error","1CtqsjgpZ4lNgP7ncszLiwfKg9AG8ZOIk","https://drive.google.com/file/d/1CtqsjgpZ4lNgP7ncszLiwfKg9AG8ZOIk/view"
"490","นครปฐม","3","party_list","-490","medium_digit_parse_error","1JIM7_8xeyGmJfDlDfPovZWY_jG817FmD","https://drive.google.com/file/d/1JIM7_8xeyGmJfDlDfPovZWY_jG817FmD/view"
"420","นครราชสีมา","4","party_list","-420","medium_digit_parse_error","11CPiXk5I-7dDEyeFCQ92DxwRMN5kgP4_","https://drive.google.com/file/d/11CPiXk5I-7dDEyeFCQ92DxwRMN5kgP4_/view"
"400","กรุงเทพมหานคร","32","constituency","-400","medium_digit_parse_error","1Oc6RvuUPxGsSHtjvpn5opoiaEkVMOWET","https://drive.google.com/file/d/1Oc6RvuUPxGsSHtjvpn5opoiaEkVMOWET/view"
