rank,province,district,election_type,drive_id,delta_read_minus_killernay,read_valid,killernay_valid,ect_valid,vote62_valid,verdict,reason,reread_valid_votes,reread_support,drive_url
1,นครราชสีมา,15,party_list,1ANq39EuBPU1dpnDnfrvSgukgzeMoeUst,-1873,90199,92072,85822,1443,lean_our_correct_vs_vote62,read closer to vote62 (88756 vs 90629),92072,supports_killernay,https://drive.google.com/file/d/1ANq39EuBPU1dpnDnfrvSgukgzeMoeUst/view
2,ปราจีนบุรี,1,party_list,1TAXGRGeK1vt5KXaiUbzwaxxkin1nPHuH,-1130,83769,80540,78565,3205,lean_killernay_correct_vs_vote62,killernay closer to vote62 (77335 vs 80564),,,https://drive.google.com/file/d/1TAXGRGeK1vt5KXaiUbzwaxxkin1nPHuH/view
3,อุทัยธานี,2,party_list,1wAmGK6xGSHvA7CLwF4Qlj8QSD8QeH1mm,-1075,76204,77279,70874,427,lean_our_correct_vs_vote62,read closer to vote62 (75777 vs 76852),,,https://drive.google.com/file/d/1wAmGK6xGSHvA7CLwF4Qlj8QSD8QeH1mm/view
4,นครสวรรค์,6,party_list,1487ZDm0vUn3rkEALvhKUvTHsIAStHHY-,-965,80672,80356,75687,1776,lean_killernay_correct_vs_vote62,killernay closer to vote62 (78580 vs 78896),81637,third_value,https://drive.google.com/file/d/1487ZDm0vUn3rkEALvhKUvTHsIAStHHY-/view
5,นครราชสีมา,10,party_list,1lUcGZjwlQ-1n3osX8Bq98g1spydLs_qE,-742,100825,101567,95993,1197,lean_our_correct_vs_vote62,read closer to vote62 (99628 vs 100370),,,https://drive.google.com/file/d/1lUcGZjwlQ-1n3osX8Bq98g1spydLs_qE/view
6,นครราชสีมา,13,party_list,1aqb4gW7J2F7hpIeDGqbcitGTlzMFJzD7,-648,68836,69484,60849,825,lean_our_correct_vs_vote62,read closer to vote62 (68011 vs 68659),,,https://drive.google.com/file/d/1aqb4gW7J2F7hpIeDGqbcitGTlzMFJzD7/view
7,นนทบุรี,3,party_list,1GeJeOFXCxU7a9ptjWupuCXce-Lw7hLes,590,101296,100706,72712,4796,lean_killernay_correct_vs_vote62,killernay closer to vote62 (95910 vs 96500),100706,supports_killernay,https://drive.google.com/file/d/1GeJeOFXCxU7a9ptjWupuCXce-Lw7hLes/view
8,ระยอง,4,party_list,11bOQwczbe1x2Mx-Bb_3RsWOYrR7O1t8D,-585,87877,88462,53379,368,lean_our_correct_vs_vote62,read closer to vote62 (87509 vs 88094),88462,supports_killernay,https://drive.google.com/file/d/11bOQwczbe1x2Mx-Bb_3RsWOYrR7O1t8D/view
9,นครปฐม,6,party_list,1edFWLejArJQA1PKk_ukTFPUrBadcqdjT,-557,90479,91036,84243,4285,lean_our_correct_vs_vote62,read closer to vote62 (86194 vs 86751),,,https://drive.google.com/file/d/1edFWLejArJQA1PKk_ukTFPUrBadcqdjT/view
10,ฉะเชิงเทรา,2,party_list,1SJzm-Uul8xxJXCoFfGWhxlOFf1pULfYP,-539,107267,107806,105669,0,lean_our_correct_vs_vote62,read closer to vote62 (107267 vs 107806),,,https://drive.google.com/file/d/1SJzm-Uul8xxJXCoFfGWhxlOFf1pULfYP/view
11,ปัตตานี,3,party_list,1CtqsjgpZ4lNgP7ncszLiwfKg9AG8ZOIk,-519,64794,65313,61194,2065,lean_our_correct_vs_vote62,read closer to vote62 (62729 vs 63248),65313,supports_killernay,https://drive.google.com/file/d/1CtqsjgpZ4lNgP7ncszLiwfKg9AG8ZOIk/view
12,นครปฐม,3,party_list,1JIM7_8xeyGmJfDlDfPovZWY_jG817FmD,-490,82036,82500,81114,1526,lean_our_correct_vs_vote62,read closer to vote62 (80510 vs 80974),82640,third_value,https://drive.google.com/file/d/1JIM7_8xeyGmJfDlDfPovZWY_jG817FmD/view
13,นครราชสีมา,4,party_list,11CPiXk5I-7dDEyeFCQ92DxwRMN5kgP4_,-420,84775,85195,71266,169,lean_our_correct_vs_vote62,read closer to vote62 (84606 vs 85026),85195,supports_killernay,https://drive.google.com/file/d/11CPiXk5I-7dDEyeFCQ92DxwRMN5kgP4_/view
14,กรุงเทพมหานคร,32,constituency,1Oc6RvuUPxGsSHtjvpn5opoiaEkVMOWET,-400,85231,85631,80054,3604,lean_our_correct_vs_vote62,read closer to vote62 (81627 vs 82027),,,https://drive.google.com/file/d/1Oc6RvuUPxGsSHtjvpn5opoiaEkVMOWET/view
15,อุบลราชธานี,7,party_list,16hUZhXo2517w-72EnVv0rYpkeOlqQ7_s,-360,84603,84963,82798,1368,lean_our_correct_vs_vote62,read closer to vote62 (83235 vs 83595),84963,supports_killernay,https://drive.google.com/file/d/16hUZhXo2517w-72EnVv0rYpkeOlqQ7_s/view
16,กาฬสินธุ์,1,party_list,1VKae75PH9ewqe33kglXKzZdZQf1t2dJo,349,83229,82880,70270,3640,lean_killernay_correct_vs_vote62,killernay closer to vote62 (79240 vs 79589),,,https://drive.google.com/file/d/1VKae75PH9ewqe33kglXKzZdZQf1t2dJo/view
17,ศรีสะเกษ,7,party_list,1PkRzlAfP6aPnAHn7mSqFLoZPwtF7RSTi,-338,78587,78925,67063,677,lean_our_correct_vs_vote62,read closer to vote62 (77910 vs 78248),,,https://drive.google.com/file/d/1PkRzlAfP6aPnAHn7mSqFLoZPwtF7RSTi/view
