จังหวัด,เขตเลือกตั้งที่,ลำดับคะแนน,พรรคการเมือง,คะแนนเสียง,คะแนนเสียง(ร้อยละ),ผู้มาใช้สิทธิ์,ร้อยละผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หน่วยเลือกตั้งที่นับเสร็จ,ร้อยละที่นับเสร็จแล้ว,หยุดอัพเดต,จำนวนหน่วยเลือกตั้งทั้งหมด
กระบี่,1,1,ประชาธิปัตย์,34327,37.58,91354,,91354,,,204,94.88372,,215
กระบี่,1,2,ประชาชน,22325,24.44,91354,,91354,,,204,94.88372,,215
กระบี่,1,3,ภูมิใจไทย,15064,16.49,91354,,91354,,,204,94.88372,,215
กระบี่,1,4,ประชาชาติ,3609,3.95,91354,,91354,,,204,94.88372,,215
กระบี่,1,5,เพื่อชาติไทย,3417,3.74,91354,,91354,,,204,94.88372,,215
กระบี่,1,6,เพื่อไทย,2540,2.78,91354,,91354,,,204,94.88372,,215
กระบี่,1,7,เศรษฐกิจ,1549,1.7,91354,,91354,,,204,94.88372,,215
กระบี่,1,8,ประชาธิปไตยใหม่,1364,1.49,91354,,91354,,,204,94.88372,,215
กระบี่,1,9,รวมไทยสร้างชาติ,1270,1.39,91354,,91354,,,204,94.88372,,215
กระบี่,1,10,ไทยภักดี,673,0.74,91354,,91354,,,204,94.88372,,215
กระบี่,1,11,ใหม่,466,0.51,91354,,91354,,,204,94.88372,,215
กระบี่,1,12,รวมใจไทย,374,0.41,91354,,91354,,,204,94.88372,,215
กระบี่,1,13,รวมพลังประชาชน,362,0.4,91354,,91354,,,204,94.88372,,215
กระบี่,1,14,มิติใหม่,352,0.39,91354,,91354,,,204,94.88372,,215
กระบี่,1,15,ทางเลือกใหม่,328,0.36,91354,,91354,,,204,94.88372,,215
กระบี่,1,16,ไทยทรัพย์ทวี,266,0.29,91354,,91354,,,204,94.88372,,215
กระบี่,1,17,กล้าธรรม,239,0.26,91354,,91354,,,204,94.88372,,215
กระบี่,1,18,เสรีรวมไทย,190,0.21,91354,,91354,,,204,94.88372,,215
กระบี่,1,19,ประชากรไทย,170,0.19,91354,,91354,,,204,94.88372,,215
กระบี่,1,20,ไทยก้าวใหม่,168,0.18,91354,,91354,,,204,94.88372,,215
กระบี่,1,21,พลังประชารัฐ,151,0.17,91354,,91354,,,204,94.88372,,215
กระบี่,1,22,ประชาไทย,151,0.17,91354,,91354,,,204,94.88372,,215
กระบี่,1,23,ครูไทยเพื่อประชาชน,147,0.16,91354,,91354,,,204,94.88372,,215
กระบี่,1,24,คลองไทย,125,0.14,91354,,91354,,,204,94.88372,,215
กระบี่,1,25,เพื่อบ้านเมือง,122,0.13,91354,,91354,,,204,94.88372,,215
กระบี่,1,26,เป็นธรรม,113,0.12,91354,,91354,,,204,94.88372,,215
กระบี่,1,27,วิชชั่นใหม่,111,0.12,91354,,91354,,,204,94.88372,,215
กระบี่,1,28,ไทยชนะ,109,0.12,91354,,91354,,,204,94.88372,,215
กระบี่,1,29,ไทยพร้อม,102,0.11,91354,,91354,,,204,94.88372,,215
กระบี่,1,30,รักชาติ,99,0.11,91354,,91354,,,204,94.88372,,215
กระบี่,1,31,สร้างอนาคตไทย,98,0.11,91354,,91354,,,204,94.88372,,215
กระบี่,1,32,ไทยสร้างไทย,93,0.1,91354,,91354,,,204,94.88372,,215
กระบี่,1,33,พลวัต,76,0.08,91354,,91354,,,204,94.88372,,215
กระบี่,1,34,ไทยก้าวหน้า,72,0.08,91354,,91354,,,204,94.88372,,215
กระบี่,1,35,ปวงชนไทย,70,0.08,91354,,91354,,,204,94.88372,,215
กระบี่,1,36,แรงงานสร้างชาติ,69,0.08,91354,,91354,,,204,94.88372,,215
กระบี่,1,37,พลังธรรมใหม่,67,0.07,91354,,91354,,,204,94.88372,,215
กระบี่,1,38,พลังเพื่อไทย,62,0.07,91354,,91354,,,204,94.88372,,215
กระบี่,1,39,สังคมประชาธิปไตยไทย,55,0.06,91354,,91354,,,204,94.88372,,215
กระบี่,1,40,ก้าวอิสระ,51,0.06,91354,,91354,,,204,94.88372,,215
กระบี่,1,41,โอกาสใหม่,50,0.05,91354,,91354,,,204,94.88372,,215
กระบี่,1,42,พลังไทยรักชาติ,43,0.05,91354,,91354,,,204,94.88372,,215
กระบี่,1,43,ท้องที่ไทย,31,0.03,91354,,91354,,,204,94.88372,,215
กระบี่,1,44,ไทรวมพลัง,30,0.03,91354,,91354,,,204,94.88372,,215
กระบี่,1,45,อนาคตไทย,29,0.03,91354,,91354,,,204,94.88372,,215
กระบี่,1,46,กรีน,28,0.03,91354,,91354,,,204,94.88372,,215
กระบี่,1,47,พร้อม,26,0.03,91354,,91354,,,204,94.88372,,215
กระบี่,1,48,พลังสังคมใหม่,23,0.03,91354,,91354,,,204,94.88372,,215
กระบี่,1,49,เพื่อชีวิตใหม่,19,0.02,91354,,91354,,,204,94.88372,,215
กระบี่,1,50,ความหวังใหม่,17,0.02,91354,,91354,,,204,94.88372,,215
กระบี่,1,51,ไทยธรรม,14,0.02,91354,,91354,,,204,94.88372,,215
กระบี่,1,52,ไทยรวมไทย,13,0.01,91354,,91354,,,204,94.88372,,215
กระบี่,1,53,แผ่นดินธรรม,10,0.01,91354,,91354,,,204,94.88372,,215
กระบี่,1,54,ประชาอาสาชาติ,10,0.01,91354,,91354,,,204,94.88372,,215
กระบี่,1,55,ฟิวชัน,6,0.01,91354,,91354,,,204,94.88372,,215
กระบี่,1,56,ไทยพิทักษ์ธรรม,6,0.01,91354,,91354,,,204,94.88372,,215
กระบี่,1,57,เครือข่ายชาวนาแห่งประเทศไทย,3,0.0,91354,,91354,,,204,94.88372,,215
กระบี่,2,1,ประชาธิปัตย์,47619,58.6,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,2,ประชาชน,13386,16.47,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,3,ภูมิใจไทย,8218,10.11,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,4,เพื่อชาติไทย,2137,2.63,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,5,เพื่อไทย,1596,1.96,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,6,ประชาธิปไตยใหม่,1101,1.35,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,7,เศรษฐกิจ,1094,1.35,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,8,รวมไทยสร้างชาติ,782,0.96,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,9,ประชาชาติ,525,0.65,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,10,มิติใหม่,369,0.45,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,11,ไทยภักดี,332,0.41,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,12,รวมใจไทย,277,0.34,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,13,ทางเลือกใหม่,261,0.32,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,14,เพื่อบ้านเมือง,241,0.3,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,15,รวมพลังประชาชน,198,0.24,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,16,ไทยทรัพย์ทวี,194,0.24,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,17,กล้าธรรม,188,0.23,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,18,เสรีรวมไทย,183,0.23,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,19,คลองไทย,182,0.22,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,20,ไทยก้าวใหม่,168,0.21,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,21,ไทยพร้อม,159,0.2,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,22,วิชชั่นใหม่,158,0.19,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,23,ใหม่,152,0.19,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,24,พลังประชารัฐ,151,0.19,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,25,ไทยชนะ,125,0.15,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,26,ประชาไทย,119,0.15,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,27,พลวัต,112,0.14,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,28,ประชากรไทย,110,0.14,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,29,ครูไทยเพื่อประชาชน,94,0.12,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,30,ไทยก้าวหน้า,86,0.11,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,31,เป็นธรรม,86,0.11,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,32,สังคมประชาธิปไตยไทย,66,0.08,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,33,ไทยสร้างไทย,63,0.08,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,34,รักชาติ,57,0.07,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,35,พลังเพื่อไทย,54,0.07,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,36,สร้างอนาคตไทย,53,0.07,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,37,โอกาสใหม่,53,0.07,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,38,ปวงชนไทย,43,0.05,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,39,แรงงานสร้างชาติ,43,0.05,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,40,พลังธรรมใหม่,38,0.05,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,41,พลังไทยรักชาติ,38,0.05,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,42,ไทรวมพลัง,37,0.05,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,43,กรีน,37,0.05,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,44,ก้าวอิสระ,32,0.04,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,45,ท้องที่ไทย,27,0.03,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,46,อนาคตไทย,24,0.03,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,47,ความหวังใหม่,24,0.03,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,48,เพื่อชีวิตใหม่,23,0.03,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,49,ฟิวชัน,22,0.03,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,50,พลังสังคมใหม่,21,0.03,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,51,ไทยธรรม,20,0.02,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,52,ไทยรวมไทย,20,0.02,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,53,พร้อม,19,0.02,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,54,แผ่นดินธรรม,18,0.02,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,55,ประชาอาสาชาติ,11,0.01,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,56,ไทยพิทักษ์ธรรม,11,0.01,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,2,57,เครือข่ายชาวนาแห่งประเทศไทย,5,0.01,86116,,81262,2948,1906,198,94.73684,,209
กระบี่,3,1,ประชาธิปัตย์,46386,51.87,89432,,89432,,,220,94.82759,,232
กระบี่,3,2,ประชาชน,15095,16.88,89432,,89432,,,220,94.82759,,232
กระบี่,3,3,ภูมิใจไทย,13112,14.66,89432,,89432,,,220,94.82759,,232
กระบี่,3,4,รวมใจไทย,2159,2.41,89432,,89432,,,220,94.82759,,232
กระบี่,3,5,เพื่อไทย,2057,2.3,89432,,89432,,,220,94.82759,,232
กระบี่,3,6,ประชาชาติ,1324,1.48,89432,,89432,,,220,94.82759,,232
กระบี่,3,7,ประชาธิปไตยใหม่,1258,1.41,89432,,89432,,,220,94.82759,,232
กระบี่,3,8,เศรษฐกิจ,1224,1.37,89432,,89432,,,220,94.82759,,232
กระบี่,3,9,รวมไทยสร้างชาติ,798,0.89,89432,,89432,,,220,94.82759,,232
กระบี่,3,10,เพื่อชาติไทย,673,0.75,89432,,89432,,,220,94.82759,,232
กระบี่,3,11,ไทยทรัพย์ทวี,488,0.55,89432,,89432,,,220,94.82759,,232
กระบี่,3,12,กล้าธรรม,487,0.54,89432,,89432,,,220,94.82759,,232
กระบี่,3,13,มิติใหม่,450,0.5,89432,,89432,,,220,94.82759,,232
กระบี่,3,14,ไทยภักดี,369,0.41,89432,,89432,,,220,94.82759,,232
กระบี่,3,15,รวมพลังประชาชน,300,0.34,89432,,89432,,,220,94.82759,,232
กระบี่,3,16,ทางเลือกใหม่,289,0.32,89432,,89432,,,220,94.82759,,232
กระบี่,3,17,เพื่อบ้านเมือง,232,0.26,89432,,89432,,,220,94.82759,,232
กระบี่,3,18,ใหม่,209,0.23,89432,,89432,,,220,94.82759,,232
กระบี่,3,19,เสรีรวมไทย,200,0.22,89432,,89432,,,220,94.82759,,232
กระบี่,3,20,คลองไทย,171,0.19,89432,,89432,,,220,94.82759,,232
กระบี่,3,21,รักชาติ,146,0.16,89432,,89432,,,220,94.82759,,232
กระบี่,3,22,ไทยชนะ,122,0.14,89432,,89432,,,220,94.82759,,232
กระบี่,3,23,ประชาไทย,114,0.13,89432,,89432,,,220,94.82759,,232
กระบี่,3,24,ไทยก้าวใหม่,114,0.13,89432,,89432,,,220,94.82759,,232
กระบี่,3,25,สร้างอนาคตไทย,107,0.12,89432,,89432,,,220,94.82759,,232
กระบี่,3,26,พลวัต,100,0.11,89432,,89432,,,220,94.82759,,232
กระบี่,3,27,ครูไทยเพื่อประชาชน,91,0.1,89432,,89432,,,220,94.82759,,232
กระบี่,3,28,ไทยก้าวหน้า,87,0.1,89432,,89432,,,220,94.82759,,232
กระบี่,3,29,เพื่อชีวิตใหม่,85,0.1,89432,,89432,,,220,94.82759,,232
กระบี่,3,30,ประชากรไทย,83,0.09,89432,,89432,,,220,94.82759,,232
กระบี่,3,31,วิชชั่นใหม่,82,0.09,89432,,89432,,,220,94.82759,,232
กระบี่,3,32,สังคมประชาธิปไตยไทย,80,0.09,89432,,89432,,,220,94.82759,,232
กระบี่,3,33,แรงงานสร้างชาติ,76,0.08,89432,,89432,,,220,94.82759,,232
กระบี่,3,34,พลังประชารัฐ,75,0.08,89432,,89432,,,220,94.82759,,232
กระบี่,3,35,ไทยพร้อม,73,0.08,89432,,89432,,,220,94.82759,,232
